"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Unit1BegExp1"
"07/18/2015 16:44:55:293 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"193","50","4","60","434","434"
"194","50","4","60","443","443"
"195","50","4","60","315","315"
"196","50","4","60","372","372"
"197","50","4","60","359","359"
"199","50","4","60","378","378"
"198","50","4","60","426","426"
"200","50","4","60","371","371"
"201","50","4","60","428","428"
"202","50","4","60","386","386"
"204","50","4","60","397","397"
"203","50","4","60","325","325"
"206","50","4","60","381","381"
"205","50","4","60","485","485"
"208","50","4","60","355","355"
"207","50","4","60","423","423"
"209","50","4","60","360","360"
"210","50","4","60","330","330"
"211","50","4","60","470","470"
"212","50","4","60","377","377"
"213","50","4","60","386","386"
"214","50","4","60","280","280"
"215","50","4","60","385","385"
"217","50","4","60","420","420"
"216","50","4","60","402","402"
"218","50","4","60","410","410"
"219","50","4","60","267","267"
"220","50","4","60","434","434"
"221","50","4","60","318","318"
"222","50","4","60","412","412"
"224","50","4","60","448","448"
"223","50","4","60","414","414"
"225","50","4","60","328","328"
"226","50","4","60","482","482"
"227","50","4","60","407","407"
"228","50","4","60","314","314"
"229","50","4","60","463","463"
"230","50","4","60","402","402"
"231","50","4","60","336","336"
"232","50","4","60","347","347"
"233","50","4","60","500","500"
"234","50","4","60","330","330"
"235","50","4","60","430","430"
"237","50","4","60","433","433"
"236","50","4","60","390","390"
"238","50","4","60","415","415"
"239","50","4","60","346","346"
"240","50","4","60","377","377"
"241","50","4","60","411","411"
"242","50","4","60","415","415"
"243","50","4","60","390","390"
"244","50","4","60","386","386"
"245","50","4","60","446","446"
"246","50","4","60","522","522"
"247","50","4","60","356","356"
"248","50","4","60","393","393"
"249","50","4","60","329","329"
"250","50","4","60","331","331"
"251","50","4","60","330","330"
"252","50","4","60","444","444"
"253","50","4","60","412","412"
"254","50","4","60","396","396"
"256","50","4","60","386","386"
"255","50","4","60","511","511"
"257","50","4","60","515","515"
"259","50","4","60","361","361"
"258","50","4","60","460","460"
"260","50","4","60","356","356"
"262","50","4","60","347","347"
"261","50","4","60","448","448"
"263","50","4","60","384","384"
"265","50","4","60","361","361"
"264","50","4","60","493","493"
"266","50","4","60","332","332"
"267","50","4","60","334","334"
"268","50","4","60","393","393"
"269","50","4","60","368","368"
"270","50","4","60","457","457"
"271","50","4","60","352","352"
"272","50","4","60","342","342"
"274","50","4","60","349","349"
"273","50","4","60","405","405"
"275","50","4","60","411","411"
"276","50","4","60","481","481"
"277","50","4","60","397","397"
"279","50","4","60","500","500"
"278","50","4","60","474","474"
"280","50","4","60","534","534"
"281","50","4","60","298","298"
"282","50","4","60","348","348"
"283","50","4","60","257","257"
"284","50","4","60","395","395"
"285","50","4","60","378","378"
"286","50","4","60","341","341"
"288","50","4","60","404","404"
"287","50","4","60","481","481"
"289","50","4","60","406","406"
"291","50","4","60","384","384"
"290","50","4","60","454","454"
"292","50","4","60","409","409"
"293","50","4","60","427","427"
"294","50","4","60","439","439"
"296","50","4","60","299","299"
"295","50","4","60","564","564"
"297","50","4","60","404","404"
"299","50","4","60","444","444"
"298","50","4","60","373","373"
"300","50","4","60","359","359"
"301","50","4","60","408","408"
"302","50","4","60","621","621"
"303","50","4","60","381","381"
"304","50","4","60","371","371"
"306","50","4","60","349","349"
"305","50","4","60","564","564"
"307","50","4","60","535","535"
"308","50","4","60","406","406"
"309","50","4","60","481","481"
"310","50","4","60","448","448"
"311","50","4","60","435","435"
"312","50","4","60","309","309"
"313","50","4","60","475","475"
"315","50","4","60","347","347"
"314","50","4","60","412","412"
"316","50","4","60","381","381"
"317","50","4","60","369","369"
"318","50","4","60","365","365"
"319","50","4","60","489","489"
"320","50","4","60","386","386"
"321","50","4","60","444","444"
"322","50","4","60","460","460"
"323","50","4","60","387","387"
"324","50","4","60","501","501"
"326","50","4","60","382","382"
"325","50","4","60","341","341"
"328","50","4","60","293","293"
"327","50","4","60","428","428"
"329","50","4","60","336","336"
"330","50","4","60","405","405"
"332","50","4","60","308","308"
"331","50","4","60","339","339"
"333","50","4","60","357","357"
"334","50","4","60","513","513"
"335","50","4","60","358","358"
"336","50","4","60","317","317"
"337","50","4","60","409","409"
"338","50","4","60","483","483"
"339","50","4","60","441","441"
"341","50","4","60","445","445"
"340","50","4","60","412","412"
"342","50","4","60","446","446"
"344","50","4","60","464","464"
"343","50","4","60","512","512"
"345","50","4","60","389","389"
"346","50","4","60","350","350"
"347","50","4","60","402","402"
"348","50","4","60","409","409"
"349","50","4","60","346","346"
"351","50","4","60","379","379"
"350","50","4","60","338","338"
"352","50","4","60","442","442"
"353","50","4","60","326","326"
"354","50","4","60","357","357"
"356","50","4","60","348","348"
"355","50","4","60","425","425"
"357","50","4","60","456","456"
"358","50","4","60","389","389"
"360","50","4","60","430","430"
"359","50","4","60","470","470"
"362","50","4","60","363","363"
"361","50","4","60","388","388"
"363","50","4","60","355","355"
"364","50","4","60","394","394"
"365","50","4","60","359","359"
"366","50","4","60","495","495"
"367","50","4","60","410","410"
"369","50","4","60","370","370"
"368","50","4","60","402","402"
"370","50","4","60","284","284"
"371","50","4","60","407","407"
"372","50","4","60","393","393"
"374","50","4","60","315","315"
"373","50","4","60","427","427"
"375","50","4","60","348","348"
"377","50","4","60","298","298"
"376","50","4","60","324","324"
"378","50","4","60","434","434"
"379","50","4","60","387","387"
"380","50","4","60","361","361"
"381","50","4","60","371","371"
"382","50","4","60","420","420"
"384","50","4","60","351","351"
"383","50","4","60","392","392"
"385","50","4","60","384","384"
"386","50","4","60","291","291"
"387","50","4","60","361","361"
"389","50","4","60","396","396"
"388","50","4","60","407","407"
"390","50","4","60","391","391"
"391","50","4","60","453","453"
"392","50","4","60","572","572"
"393","50","4","60","327","327"
"394","50","4","60","403","403"
"395","50","4","60","481","481"
"396","50","4","60","559","559"
"398","50","4","60","395","395"
"397","50","4","60","417","417"
"399","50","4","60","376","376"
"400","50","4","60","378","378"
"401","50","4","60","278","278"
"402","50","4","60","392","392"
"403","50","4","60","547","547"
"405","50","4","60","330","330"
"404","50","4","60","369","369"
"406","50","4","60","397","397"
"407","50","4","60","319","319"
"408","50","4","60","389","389"
"410","50","4","60","369","369"
"409","50","4","60","446","446"
"411","50","4","60","412","412"
"412","50","4","60","363","363"
"413","50","4","60","362","362"
"414","50","4","60","473","473"
"415","50","4","60","376","376"
"417","50","4","60","296","296"
"416","50","4","60","571","571"
"418","50","4","60","378","378"
"419","50","4","60","351","351"
"420","50","4","60","399","399"
"421","50","4","60","363","363"
"422","50","4","60","528","528"
"424","50","4","60","345","345"
"423","50","4","60","504","504"
"425","50","4","60","412","412"
"427","50","4","60","370","370"
"426","50","4","60","434","434"
"428","50","4","60","316","316"
"429","50","4","60","533","533"
"430","50","4","60","429","429"
"431","50","4","60","347","347"
"432","50","4","60","529","529"
"434","50","4","60","334","334"
"433","50","4","60","322","322"
"435","50","4","60","311","311"
"436","50","4","60","335","335"
"437","50","4","60","439","439"
"439","50","4","60","389","389"
"438","50","4","60","358","358"
"440","50","4","60","380","380"
"442","50","4","60","379","379"
"441","50","4","60","350","350"
"443","50","4","60","343","343"
"444","50","4","60","411","411"
"445","50","4","60","345","345"
"446","50","4","60","371","371"
"447","50","4","60","530","530"
"449","50","4","60","461","461"
"448","50","4","60","494","494"
"450","50","4","60","453","453"
"451","50","4","60","341","341"
"452","50","4","60","420","420"
"453","50","4","60","299","299"
"454","50","4","60","362","362"
"456","50","4","60","624","624"
"455","50","4","60","575","575"
"457","50","4","60","542","542"
"458","50","4","60","291","291"
"459","50","4","60","402","402"
"461","50","4","60","370","370"
"460","50","4","60","403","403"
"462","50","4","60","338","338"
"463","50","4","60","339","339"
"464","50","4","60","396","396"
"465","50","4","60","303","303"
"466","50","4","60","335","335"
"468","50","4","60","434","434"
"467","50","4","60","363","363"
"469","50","4","60","318","318"
"471","50","4","60","375","375"
"470","50","4","60","513","513"
"472","50","4","60","348","348"
"473","50","4","60","393","393"
"474","50","4","60","468","468"
"476","50","4","60","377","377"
"475","50","4","60","441","441"
"477","50","4","60","402","402"
"478","50","4","60","350","350"
"479","50","4","60","357","357"
"480","50","4","60","375","375"
"481","50","4","60","349","349"
"483","50","4","60","352","352"
"484","50","4","60","357","357"
"482","50","4","60","746","746"
"485","50","4","60","418","418"
"486","50","4","60","417","417"
"487","50","4","60","429","429"
"488","50","4","60","367","367"
"489","50","4","60","405","405"
"490","50","4","60","384","384"
"491","50","4","60","449","449"
"492","50","4","60","385","385"
"493","50","4","60","485","485"
"494","50","4","60","274","274"
"495","50","4","60","429","429"
"497","50","4","60","446","446"
"496","50","4","60","427","427"
"498","50","4","60","470","470"
"499","50","4","60","340","340"
"500","50","4","60","424","424"
"501","50","4","60","354","354"
"502","50","4","60","327","327"
"504","50","4","60","324","324"
"503","50","4","60","322","322"
"505","50","4","60","372","372"
"507","50","4","60","368","368"
"506","50","4","60","407","407"
"508","50","4","60","422","422"
"510","50","4","60","336","336"
"509","50","4","60","448","448"
"511","50","4","60","540","540"
"512","50","4","60","401","401"
"513","50","4","60","316","316"
"515","50","4","60","549","549"
"514","50","4","60","401","401"
"516","50","4","60","309","309"
"517","50","4","60","325","325"
"518","50","4","60","445","445"
"520","50","4","60","448","448"
"519","50","4","60","606","606"
"521","50","4","60","337","337"
"522","50","4","60","428","428"
"523","50","4","60","481","481"
"524","50","4","60","379","379"
"525","50","4","60","381","381"
"527","50","4","60","429","429"
"526","50","4","60","335","335"
"528","50","4","60","498","498"
"529","50","4","60","420","420"
"530","50","4","60","383","383"
"532","50","4","60","392","392"
"531","50","4","60","345","345"
"533","50","4","60","423","423"
"535","50","4","60","367","367"
"534","50","4","60","465","465"
"536","50","4","60","448","448"
"537","50","4","60","578","578"
"538","50","4","60","337","337"
"540","50","4","60","427","427"
"539","50","4","60","405","405"
"541","50","4","60","394","394"
"542","50","4","60","333","333"
"543","50","4","60","447","447"
"544","50","4","60","463","463"
"545","50","4","60","410","410"
"546","50","4","60","422","422"
"547","50","4","60","458","458"
"548","50","4","60","443","443"
"549","50","4","60","551","551"
"550","50","4","60","368","368"
"551","50","4","60","354","354"
"553","50","4","60","350","350"
"552","50","4","60","485","485"
"554","50","4","60","400","400"
"555","50","4","60","411","411"
"556","50","4","60","438","438"
"558","50","4","60","490","490"
"557","50","4","60","414","414"
"559","50","4","60","344","344"
"560","50","4","60","326","326"
"561","50","4","60","417","417"
"563","50","4","60","327","327"
"562","50","4","60","445","445"
"564","50","4","60","332","332"
"565","50","4","60","411","411"
"566","50","4","60","443","443"
"568","50","4","60","393","393"
"567","50","4","60","498","498"
"569","50","4","60","345","345"
"571","50","4","60","348","348"
"570","50","4","60","408","408"
"572","50","4","60","358","358"
"573","50","4","60","330","330"
"574","50","4","60","283","283"
"575","50","4","60","371","371"
"576","50","4","60","398","398"
"578","50","4","60","413","413"
"577","50","4","60","446","446"
"579","50","4","60","645","645"
"580","50","4","60","633","633"
"581","50","4","60","343","343"
"583","50","4","60","327","327"
"582","50","4","60","381","381"
"584","50","4","60","478","478"
"586","50","4","60","363","363"
"585","50","4","60","430","430"
"587","50","4","60","455","455"
"588","50","4","60","376","376"
"589","50","4","60","320","320"
"591","50","4","60","440","440"
"590","50","4","60","420","420"
"592","50","4","60","438","438"
"593","50","4","60","396","396"
"594","50","4","60","489","489"
"596","50","4","60","402","402"
"595","50","4","60","486","486"
"597","50","4","60","365","365"
"599","50","4","60","331","331"
"598","50","4","60","425","425"
"600","50","4","60","464","464"
"602","50","4","60","352","352"
"601","50","4","60","483","483"
"603","50","4","60","450","450"
"604","50","4","60","360","360"
"605","50","4","60","402","402"
"606","50","4","60","389","389"
"607","50","4","60","525","525"
"609","50","4","60","403","403"
"608","50","4","60","435","435"
"610","50","4","60","334","334"
"611","50","4","60","363","363"
"612","50","4","60","405","405"
"613","50","4","60","349","349"
"614","50","4","60","337","337"
"615","50","4","60","358","358"
"616","50","4","60","452","452"
"617","50","4","60","452","452"
"618","50","4","60","429","429"
"620","50","4","60","361","361"
"619","50","4","60","557","557"
"621","50","4","60","397","397"
"622","50","4","60","398","398"
"623","50","4","60","489","489"
"625","50","4","60","424","424"
"624","50","4","60","516","516"
"626","50","4","60","375","375"
"627","50","4","60","440","440"
"628","50","4","60","464","464"
"630","50","4","60","507","507"
"629","50","4","60","474","474"
"631","50","4","60","380","380"
"632","50","4","60","480","480"
"633","50","4","60","284","284"
"635","50","4","60","297","297"
"634","50","4","60","390","390"
"636","50","4","60","439","439"
"637","50","4","60","384","384"
"638","50","4","60","361","361"
"639","50","4","60","321","321"
"640","50","4","60","426","426"
"642","50","4","60","333","333"
"643","50","4","60","301","301"
"641","50","4","60","736","736"
"644","50","4","60","409","409"
"646","50","4","60","426","426"
"645","50","4","60","476","476"
"647","50","4","60","533","533"
"648","50","4","60","449","449"
"649","50","4","60","375","375"
"651","50","4","60","354","354"
"650","50","4","60","498","498"
"652","50","4","60","366","366"
"654","50","4","60","341","341"
"653","50","4","60","467","467"
"655","50","4","60","390","390"
"656","50","4","60","374","374"
"657","50","4","60","402","402"
"658","50","4","60","519","519"
"659","50","4","60","403","403"
"660","50","4","60","316","316"
"661","50","4","60","299","299"
"663","50","4","60","454","454"
"662","50","4","60","452","452"
"664","50","4","60","365","365"
"666","50","4","60","306","306"
"665","50","4","60","413","413"
"667","50","4","60","330","330"
"668","50","4","60","326","326"
"669","50","4","60","408","408"
"670","50","4","60","474","474"
"671","50","4","60","382","382"
"672","50","4","60","374","374"
"673","50","4","60","487","487"
"675","50","4","60","344","344"
"674","50","4","60","388","388"
"676","50","4","60","386","386"
"677","50","4","60","310","310"
"678","50","4","60","278","278"
"679","50","4","60","407","407"
"680","50","4","60","622","622"
"682","50","4","60","500","500"
"681","50","4","60","401","401"
"683","50","4","60","394","394"
"684","50","4","60","323","323"
"685","50","4","60","357","357"
"686","50","4","60","373","373"
"687","50","4","60","332","332"
"688","50","4","60","393","393"
"689","50","4","60","552","552"
"691","50","4","60","405","405"
"690","50","4","60","398","398"
"692","50","4","60","363","363"
"693","50","4","60","407","407"
"694","50","4","60","397","397"
"696","50","4","60","399","399"
"695","50","4","60","403","403"
"697","50","4","60","361","361"
"698","50","4","60","336","336"
"699","50","4","60","385","385"
"701","50","4","60","387","387"
"700","50","4","60","405","405"
"702","50","4","60","434","434"
"703","50","4","60","403","403"
"704","50","4","60","352","352"
"706","50","4","60","335","335"
"705","50","4","60","407","407"
"708","50","4","60","301","301"
"707","50","4","60","528","528"
"709","50","4","60","406","406"
"710","50","4","60","615","615"
"712","50","4","60","408","408"
"711","50","4","60","402","402"
"713","50","4","60","384","384"
"714","50","4","60","560","560"
"715","50","4","60","460","460"
"716","50","4","60","416","416"
"717","50","4","60","408","408"
"719","50","4","60","461","461"
"718","50","4","60","526","526"
"720","50","4","60","383","383"
"722","50","4","60","415","415"
"721","50","4","60","497","497"
"723","50","4","60","397","397"
"724","50","4","60","446","446"
"726","50","4","60","410","410"
"725","50","4","60","658","658"
"728","50","4","60","385","385"
"727","50","4","60","480","480"
"730","50","4","60","397","397"
"729","50","4","60","691","691"
"731","50","4","60","400","400"
"732","50","4","60","434","434"
"733","50","4","60","412","412"
"734","50","4","60","573","573"
"735","50","4","60","379","379"
"736","50","4","60","343","343"
"738","50","4","60","359","359"
"737","50","4","60","434","434"
"739","50","4","60","431","431"
"741","50","4","60","426","426"
"740","50","4","60","513","513"
"742","50","4","60","448","448"
"744","50","4","60","377","377"
"743","50","4","60","409","409"
"746","50","4","60","352","352"
"745","50","4","60","394","394"
"747","50","4","60","403","403"
"748","50","4","60","539","539"
"750","50","4","60","390","390"
"749","50","4","60","416","416"
"751","50","4","60","357","357"
"752","50","4","60","451","451"
"753","50","4","60","357","357"
"755","50","4","60","369","369"
"754","50","4","60","370","370"
"756","50","4","60","418","418"
"758","50","4","60","315","315"
"757","50","4","60","416","416"
"759","50","4","60","339","339"
"760","50","4","60","379","379"
"761","50","4","60","355","355"
"762","50","4","60","296","296"
"763","50","4","60","472","472"
"765","50","4","60","399","399"
"764","50","4","60","416","416"
"766","50","4","60","399","399"
"767","50","4","60","393","393"
"768","50","4","60","333","333"
"770","50","4","60","483","483"
"769","50","4","60","401","401"
"771","50","4","60","449","449"
"772","50","4","60","515","515"
"773","50","4","60","280","280"
"775","50","4","60","495","495"
"774","50","4","60","464","464"
"776","50","4","60","323","323"
"777","50","4","60","399","399"
"778","50","4","60","392","392"
"780","50","4","60","307","307"
"779","50","4","60","424","424"
"781","50","4","60","381","381"
"783","50","4","60","449","449"
"782","50","4","60","393","393"
"784","50","4","60","402","402"
"785","50","4","60","412","412"
"786","50","4","60","333","333"
"787","50","4","60","298","298"
"788","50","4","60","331","331"
"789","50","4","60","408","408"
"791","50","4","60","394","394"
"790","50","4","60","529","529"
"793","50","4","60","300","300"
"792","50","4","60","360","360"
"794","50","4","60","444","444"
"795","50","4","60","322","322"
"796","50","4","60","311","311"
"797","50","4","60","431","431"
"798","50","4","60","387","387"
"799","50","4","60","394","394"
"800","50","4","60","404","404"
"801","50","4","60","344","344"
"802","50","4","60","368","368"
"804","50","4","60","356","356"
"803","50","4","60","509","509"
"805","50","4","60","335","335"
"806","50","4","60","352","352"
"807","50","4","60","315","315"
"809","50","4","60","319","319"
"808","50","4","60","455","455"
"810","50","4","60","424","424"
"812","50","4","60","479","479"
"811","50","4","60","455","455"
"813","50","4","60","379","379"
"814","50","4","60","336","336"
"815","50","4","60","483","483"
"816","50","4","60","404","404"
"817","50","4","60","368","368"
"819","50","4","60","337","337"
"818","50","4","60","431","431"
"820","50","4","60","372","372"
"821","50","4","60","501","501"
"822","50","4","60","352","352"
"824","50","4","60","389","389"
"823","50","4","60","591","591"
"826","50","4","60","346","346"
"825","50","4","60","835","835"
"828","50","4","60","423","423"
"827","50","4","60","485","485"
"829","50","4","60","303","303"
"830","50","4","60","360","360"
"831","50","4","60","433","433"
"832","50","4","60","407","407"
"833","50","4","60","430","430"
"834","50","4","60","416","416"
"835","50","4","60","403","403"
"837","50","4","60","325","325"
"836","50","4","60","450","450"
"838","50","4","60","452","452"
"839","50","4","60","375","375"
"840","50","4","60","401","401"
"842","50","4","60","345","345"
"841","50","4","60","391","391"
"843","50","4","60","522","522"
"844","50","4","60","320","320"
"845","50","4","60","356","356"
"846","50","4","60","387","387"
"847","50","4","60","308","308"
"848","50","4","60","371","371"
"849","50","4","60","381","381"
"851","50","4","60","556","556"
"850","50","4","60","439","439"
"852","50","4","60","364","364"
"853","50","4","60","378","378"
"854","50","4","60","511","511"
"856","50","4","60","357","357"
"855","50","4","60","393","393"
"857","50","4","60","386","386"
"858","50","4","60","332","332"
"859","50","4","60","273","273"
"861","50","4","60","431","431"
"860","50","4","60","473","473"
"862","50","4","60","370","370"
"863","50","4","60","403","403"
"864","50","4","60","456","456"
"866","50","4","60","284","284"
"865","50","4","60","368","368"
"867","50","4","60","420","420"
"868","50","4","60","297","297"
"869","50","4","60","425","425"
"870","50","4","60","447","447"
"871","50","4","60","419","419"
"873","50","4","60","324","324"
"872","50","4","60","465","465"
"874","50","4","60","357","357"
"875","50","4","60","306","306"
"876","50","4","60","370","370"
"877","50","4","60","430","430"
"878","50","4","60","513","513"
"880","50","4","60","373","373"
"879","50","4","60","376","376"
"881","50","4","60","392","392"
"882","50","4","60","335","335"
"883","50","4","60","415","415"
"884","50","4","60","390","390"
"885","50","4","60","573","573"
"886","50","4","60","419","419"
"887","50","4","60","354","354"
"888","50","4","60","407","407"
"889","50","4","60","425","425"
"891","50","4","60","307","307"
"890","50","4","60","445","445"
"892","50","4","60","368","368"
"893","50","4","60","336","336"
"894","50","4","60","374","374"
"896","50","4","60","266","266"
"895","50","4","60","384","384"
"897","50","4","60","498","498"
"899","50","4","60","321","321"
"898","50","4","60","401","401"
"900","50","4","60","285","285"
"901","50","4","60","377","377"
"902","50","4","60","416","416"
"903","50","4","60","317","317"
"904","50","4","60","443","443"
"905","50","4","60","414","414"
"906","50","4","60","562","562"
"908","50","4","60","295","295"
"907","50","4","60","416","416"
"909","50","4","60","352","352"
"911","50","4","60","341","341"
"910","50","4","60","458","458"
"912","50","4","60","308","308"
"914","50","4","60","392","392"
"915","50","4","60","324","324"
"913","50","4","60","531","531"
"916","50","4","60","333","333"
"918","50","4","60","459","459"
"917","50","4","60","346","346"
"919","50","4","60","336","336"
"920","50","4","60","341","341"
"921","50","4","60","592","592"
"922","50","4","60","478","478"
"923","50","4","60","488","488"
"925","50","4","60","332","332"
"924","50","4","60","399","399"
"926","50","4","60","359","359"
"927","50","4","60","332","332"
"928","50","4","60","357","357"
"930","50","4","60","285","285"
"929","50","4","60","442","442"
"931","50","4","60","359","359"
"932","50","4","60","431","431"
"933","50","4","60","420","420"
"935","50","4","60","386","386"
"934","50","4","60","388","388"
"936","50","4","60","389","389"
"937","50","4","60","363","363"
"938","50","4","60","598","598"
"939","50","4","60","394","394"
"940","50","4","60","373","373"
"942","50","4","60","434","434"
"941","50","4","60","354","354"
"943","50","4","60","442","442"
"944","50","4","60","340","340"
"945","50","4","60","381","381"
"947","50","4","60","351","351"
"946","50","4","60","445","445"
"948","50","4","60","457","457"
"949","50","4","60","390","390"
"950","50","4","60","515","515"
"951","50","4","60","318","318"
"952","50","4","60","519","519"
"953","50","4","60","542","542"
"954","50","4","60","328","328"
"956","50","4","60","319","319"
"955","50","4","60","411","411"
"957","50","4","60","320","320"
"958","50","4","60","305","305"
"959","50","4","60","356","356"
"961","50","4","60","348","348"
"960","50","4","60","435","435"
"962","50","4","60","460","460"
"964","50","4","60","416","416"
"963","50","4","60","371","371"
"965","50","4","60","400","400"
"966","50","4","60","397","397"
"967","50","4","60","295","295"
"969","50","4","60","327","327"
"968","50","4","60","440","440"
"970","50","4","60","362","362"
"971","50","4","60","468","468"
"972","50","4","60","487","487"
"973","50","4","60","325","325"
"974","50","4","60","464","464"
"975","50","4","60","439","439"
"976","50","4","60","472","472"
"978","50","4","60","411","411"
"977","50","4","60","380","380"
"979","50","4","60","382","382"
